0,3,3,20
1,4,4,20
2,5,5,19
3,6,4,18
4,7,3,17
5,8,2,16
6,9,3,15
7,10,4,14
8,11,5,13
9,12,6,20
10,13,7,19
11,14,8,18
12,15,9,17
13,16,10,16
14,17,11,15
15,18,12,14
16,19,13,13
17,20,14,12
18,21,15,11
19,22,16,10
20,21,17,9
21,22,18,8
22,21,19,7
23,22,20,6
24,21,19,5
25,21,18,4
26,20,17,3
27,21,16,2
28,22,15,20
29,23,14,19
30,24,13,18
31,25,12,17
32,26,11,16
33,27,10,15
34,28,9,14
35,29,10,13
36,30,11,12
37,31,12,11
38,32,13,10
39,33,14,9
40,32,15,20
41,31,16,19
42,30,17,18
43,29,18,17
44,28,19,16
45,27,20,15
46,26,21,14
47,25,22,13
48,24,23,12
49,23,24,11
50,22,25,10
51,23,24,9
52,24,23,8
53,25,22,7
54,26,21,6
55,27,20,5
56,28,19,4
57,29,18,3
58,30,17,2
59,31,16,1
60,32,15,20
61,33,16,19
62,33,17,18
63,32,18,17
64,33,19,16
65,32,20,15
66,31,21,14
67,30,22,13
68,29,23,12
69,28,24,11
70,27,25,10
71,26,24,9
72,27,23,8
73,27,22,7
74,28,21,6
75,29,20,5
76,28,19,4
77,29,18,3
78,30,17,2
79,31,16,1
80,32,15,20
81,31,14,19
82,30,14,18
83,29,13,17
84,28,14,16
85,27,15,15
86,26,16,14
87,25,17,13
88,24,18,12
89,24,17,11
90,25,16,10
91,24,15,9
92,23,14,8
93,22,13,7
94,21,12,6
95,22,11,5
96,21,10,4
97,22,10,3
98,23,11,2
99,24,10,1
100,25,10,20
101,24,9,19
102,24,10,18
103,23,11,17
104,22,10,16
105,21,9,15
106,20,8,14
107,19,7,13
108,18,6,12
109,19,5,11
110,20,4,10
111,21,3,9
112,20,2,8
113,19,2,7
114,18,2,6
115,17,3,5
116,16,2,4
117,15,3,3
118,14,4,2
119,13,5,1
120,12,6,20
121,11,7,19
122,10,8,18
123,9,9,17
124,8,8,16
125,7,7,15
126,6,8,14
127,5,9,13
128,4,8,12
129,3,7,11
130,2,6,10
131,2,7,9
132,3,8,8
133,2,9,7
134,2,8,6
135,2,7,5
136,2,6,4
137,3,5,3
138,2,4,2
139,3,3,1
140,4,4,20
141,3,3,19
142,2,2,18
143,3,2,17
144,4,2,16
145,5,2,15
146,6,1,14
147,7,1,13
148,8,1,12
149,9,2,11
150,10,2,10
151,11,2,9
152,12,2,8
153,11,3,7
154,10,4,6
155,9,5,5
156,10,4,4
157,11,5,3
158,12,6,20
159,13,7,19
160,14,6,18
161,15,6,17
162,14,7,16
163,13,8,15
164,14,9,14
165,13,10,13
166,12,11,12
167,11,12,11
168,10,13,10
169,9,14,9
170,8,15,8
171,7,16,7
172,6,17,6
173,7,16,5
174,8,15,4
175,8,14,3
176,8,13,2
177,9,12,1
178,10,11,20
179,11,12,19
180,12,13,18
181,13,14,17
182,14,15,16
183,15,16,15
184,16,17,14
185,17,16,13
186,17,15,12
187,16,14,11
188,15,13,10
189,14,14,9
190,13,15,8
191,12,16,7
192,12,17,6
193,12,16,5
194,12,15,4
195,12,14,3
196,12,13,2
197,11,12,1
198,10,11,20
199,9,11,19
200,8,12,18
201,7,11,17
202,6,12,16
203,5,13,15
204,4,14,14
205,3,15,13
206,2,16,12
207,3,17,11
208,2,18,10
209,3,19,9
210,4,19,8
211,5,18,7
212,6,17,6
213,7,16,5
214,8,15,4
215,8,14,3
216,8,13,2
217,9,12,1
218,10,11,20
219,9,12,19
220,8,13,18
221,8,14,17
222,8,15,16
223,9,16,15
224,9,17,14
225,10,18,13
226,9,19,12
227,8,20,11
228,9,21,10
229,10,20,9
230,11,19,8
231,10,18,7
232,9,17,6
233,8,16,5
234,8,15,4
235,9,14,3
236,9,13,2
237,9,12,1
238,10,11,20
239,9,11,19
240,8,12,18
241,7,11,17
242,6,11,16
243,5,11,15
244,4,11,14
245,3,12,13
246,2,12,12
247,2,13,11
248,3,12,10
249,4,11,9
250,5,11,8
251,6,12,7
252,7,11,6
253,8,11,5
254,9,11,4
255,10,11,20
256,9,12,19
257,8,13,18
258,9,14,17
259,10,15,16
260,10,16,15
261,10,17,14
262,10,18,13
263,11,19,12
264,12,20,11
265,13,21,10
266,12,20,9
267,11,19,8
268,10,18,7
269,9,17,6
270,9,16,5
271,8,15,4
272,8,14,3
273,8,13,2
274,9,12,1
275,10,11,20
276,9,12,19
